generation,coverage,archive_size,max_objective,mean_objective,decode_success_rate,total_evaluations,int_div,scaffold_count,n_unique
1,0.04,4,0.8088829751441392,0.6722358718446644,1.0,380,0.9264854815752718,4,4
2,0.04,4,0.8088829751441392,0.6892762027287461,1.0,560,0.948558616540344,4,4
3,0.04,4,0.8088829751441392,0.6892762027287461,1.0,740,0.948558616540344,4,4
4,0.04,4,0.8088829751441392,0.6892762027287461,1.0,918,0.948558616540344,4,4
5,0.04,4,0.8088829751441392,0.7074131010013269,1.0,1098,0.8821782141598439,4,4
6,0.04,4,0.8088829751441392,0.7148392035057034,1.0,1273,0.885679882278938,4,4
7,0.04,4,0.8088829751441392,0.7148392035057034,1.0,1453,0.885679882278938,4,4
8,0.04,4,0.8088829751441392,0.7148392035057034,1.0,1631,0.885679882278938,4,4
9,0.04,4,0.8088829751441392,0.7148392035057034,1.0,1805,0.885679882278938,4,4
10,0.04,4,0.8088829751441392,0.7148392035057034,1.0,1977,0.885679882278938,4,4
11,0.04,4,0.8088829751441392,0.7148392035057034,1.0,2152,0.885679882278938,4,4
12,0.04,4,0.8088829751441392,0.7248933104335438,1.0,2322,0.9189352168299535,4,4
13,0.04,4,0.8088829751441392,0.7248933104335438,1.0,2494,0.9189352168299535,4,4
14,0.04,4,0.8411881160434392,0.7329695956583687,1.0,2662,0.9059713889882729,4,4
15,0.04,4,0.8411881160434392,0.7464658930787857,1.0,2823,0.8699058805537597,4,4
16,0.04,4,0.8411881160434392,0.7480630854427002,1.0,2990,0.8833915682094707,4,4
17,0.04,4,0.8411881160434392,0.76113299571575,1.0,3157,0.9000831061390389,4,4
18,0.04,4,0.8477643214043639,0.7627770470559811,1.0,3321,0.9075315541740333,4,4
19,0.04,4,0.8477643214043639,0.7627770470559811,1.0,3482,0.9075315541740333,4,4
20,0.04,4,0.8477643214043639,0.7627770470559811,1.0,3641,0.9075315541740333,4,4
21,0.04,4,0.8477643214043639,0.7627770470559811,1.0,3801,0.9075315541740333,4,4
22,0.04,4,0.8477643214043639,0.768903417147241,1.0,3943,0.8882939005404548,4,4
23,0.04,4,0.8477643214043639,0.773217777357724,1.0,4084,0.8869360150824682,4,4
24,0.04,4,0.8477643214043639,0.773217777357724,1.0,4215,0.8869360150824682,4,4
25,0.04,4,0.8477643214043639,0.773217777357724,1.0,4325,0.8869360150824682,4,4
26,0.04,4,0.8477643214043639,0.7798971835033804,1.0,4427,0.8379187144750961,4,4
27,0.04,4,0.8477643214043639,0.7798971835033804,1.0,4510,0.8379187144750961,4,4
28,0.04,4,0.8477643214043639,0.7798971835033804,1.0,4593,0.8379187144750961,4,4
29,0.04,4,0.8477643214043639,0.7798971835033804,1.0,4686,0.8379187144750961,4,4
30,0.04,4,0.8718705376547492,0.7859237375659768,1.0,4773,0.8340689415686801,4,4
31,0.04,4,0.8718705376547492,0.7859237375659768,1.0,4866,0.8340689415686801,4,4
32,0.04,4,0.8718705376547492,0.7921554422692164,1.0,4956,0.8787688138547592,3,4
33,0.04,4,0.874551869000247,0.8006803047113215,1.0,5042,0.8706706971968599,3,4
34,0.04,4,0.874551869000247,0.8006803047113215,1.0,5132,0.8706706971968599,3,4
35,0.04,4,0.874551869000247,0.8006803047113215,1.0,5241,0.8706706971968599,3,4
36,0.04,4,0.874551869000247,0.8006803047113215,1.0,5349,0.8706706971968599,3,4
37,0.04,4,0.874551869000247,0.802209139590248,1.0,5471,0.8688191325428759,3,4
38,0.04,4,0.874551869000247,0.813967769745494,1.0,5635,0.8319137414223685,3,4
39,0.05,5,0.8945889883484509,0.7777546972002114,1.0,5797,0.8649145147173621,5,5
40,0.05,5,0.8945889883484509,0.832305649101934,1.0,5965,0.8600733296995869,5,5
41,0.05,5,0.8945889883484509,0.832305649101934,1.0,6142,0.8600733296995869,5,5
42,0.05,5,0.8945889883484509,0.832305649101934,1.0,6315,0.8600733296995869,5,5
43,0.06,6,0.8945889883484509,0.7957017168119669,1.0,6489,0.8932408042425709,6,6
44,0.06,6,0.8945889883484509,0.8315011461430725,1.0,6662,0.8912876316584677,6,6
45,0.07,7,0.8945889883484509,0.777020871764954,1.0,6831,0.8982633701751637,7,7
46,0.09,9,0.8945889883484509,0.686344740270966,1.0,7005,0.9281178997460994,9,9
47,0.09,9,0.8945889883484509,0.7298834669489934,1.0,7177,0.9247541675125456,9,9
48,0.09,9,0.8945889883484509,0.7298834669489934,1.0,7346,0.9247541675125456,9,9
49,0.09,9,0.8945889883484509,0.7450764018868115,1.0,7518,0.9262911077630397,9,9
50,0.09,9,0.8995707216265809,0.7789908483737478,1.0,7688,0.9163290562601891,9,9
51,0.09,9,0.8995707216265809,0.7798398024711231,1.0,7851,0.9225052105577629,9,9
52,0.09,9,0.8995707216265809,0.7798398024711231,1.0,8017,0.9225052105577629,9,9
53,0.09,9,0.8995707216265809,0.7798398024711231,1.0,8192,0.9225052105577629,9,9
54,0.09,9,0.8995707216265809,0.7798398024711231,1.0,8367,0.9225052105577629,9,9
55,0.09,9,0.8995707216265809,0.7798398024711231,1.0,8542,0.9225052105577629,9,9
56,0.09,9,0.8995707216265809,0.7816479674884271,1.0,8719,0.920762008711467,9,9
57,0.09,9,0.8995707216265809,0.7835219835653946,1.0,8891,0.9154879998359393,9,9
58,0.09,9,0.8995707216265809,0.7835219835653946,1.0,9064,0.9154879998359393,9,9
59,0.09,9,0.8995707216265809,0.7835219835653946,1.0,9240,0.9154879998359393,9,9
60,0.09,9,0.9176445429391208,0.7894785672519851,1.0,9411,0.9087583273306598,9,9
61,0.09,9,0.9176445429391208,0.7907277899823428,1.0,9583,0.9126353685965228,9,9
62,0.09,9,0.9176445429391208,0.7907277899823428,1.0,9757,0.9126353685965228,9,9
63,0.09,9,0.9176445429391208,0.7926055114610971,1.0,9931,0.9151732710404509,9,9
