generation,coverage,archive_size,max_objective,mean_objective,decode_success_rate,total_evaluations,int_div,scaffold_count,n_unique
1,0.04,4,0.8240661335616302,0.6915752239204063,1.0,380,0.9519982433025911,4,4
2,0.04,4,0.8240661335616302,0.697861568337964,1.0,559,0.9430023705970411,4,4
3,0.04,4,0.8913024464944264,0.7208890953969489,1.0,735,0.9286325317160801,4,4
4,0.04,4,0.9146144646703004,0.7387107941654554,1.0,907,0.8198876383585301,4,4
5,0.04,4,0.9146144646703004,0.7555065997505065,1.0,1078,0.8184771051475858,4,4
6,0.04,4,0.9146144646703004,0.769714842414376,1.0,1244,0.8448652409906158,4,4
7,0.04,4,0.9146144646703004,0.778451550298954,1.0,1406,0.8411766339052695,4,4
8,0.04,4,0.9146144646703004,0.7801335379213272,1.0,1571,0.8396593623465151,3,4
9,0.04,4,0.9146144646703004,0.7805495952505612,1.0,1729,0.8793086793803658,3,4
10,0.04,4,0.9146144646703004,0.78820967084739,1.0,1898,0.8492735521019766,4,4
11,0.05,5,0.9146144646703004,0.8183478961924158,1.0,2060,0.8763611913756243,5,5
12,0.05,5,0.9146144646703004,0.8183478961924158,1.0,2210,0.8763611913756243,5,5
13,0.05,5,0.9146144646703004,0.8189342359570075,1.0,2353,0.8767187563657503,5,5
14,0.05,5,0.9146144646703004,0.8189342359570075,1.0,2500,0.8767187563657503,5,5
15,0.05,5,0.926314865096567,0.8219278510984731,1.0,2647,0.8802216110819842,5,5
16,0.05,5,0.9307594957338857,0.8228167772259368,1.0,2783,0.8762804884598111,5,5
17,0.06,6,0.9307594957338857,0.7863869529352888,1.0,2917,0.8982494544468848,6,6
18,0.06,6,0.9307594957338857,0.8225890003997368,1.0,3048,0.9050744486765403,6,6
19,0.06,6,0.9307594957338857,0.8288843876610033,1.0,3195,0.9094888950125692,6,6
20,0.06,6,0.9307594957338857,0.8288843876610033,1.0,3343,0.9094888950125692,6,6
21,0.06,6,0.9307594957338857,0.8288843876610033,1.0,3494,0.9094888950125692,6,6
