generation,coverage,archive_size,moqd_score,global_hypervolume,max_hv_contrib,mean_hv_contrib,decode_success_rate,total_evaluations,int_div,scaffold_count,n_unique
1,0.04,4,2.172567181168307,0.7501009121824973,0.4393595821673363,0.12068715642870842,1.0,379,0.9035649450039439,22,39
2,0.04,4,2.526107333829718,0.8117540007441898,0.458192319285821,0.18629433410607796,1.0,542,0.8829084537102326,24,50
3,0.05,5,3.032304024107761,0.8125968674478745,0.4401387276809646,0.18992293714088995,1.0,676,0.8591927353402553,18,47
4,0.05,5,3.1140067088103116,0.812604117434292,0.42274650583336615,0.11637597457743755,1.0,833,0.8669216018519661,29,71
5,0.05,5,3.165070950636272,0.8424901603065622,0.2739337900193355,0.11131231503050161,1.0,919,0.87972157337836,43,78
6,0.05,5,3.1683710051518714,0.8426440424419136,0.3270234398084541,0.07097728681243033,1.0,1077,0.8749068435390293,46,92
7,0.05,5,3.1940866092656437,0.8452519675700384,0.23739426486808698,0.06721747282177516,1.0,1177,0.8785632312960268,49,93
8,0.05,5,3.230599261167531,0.8478628463125881,0.34837700004214184,0.06594886109883193,1.0,1354,0.8701779975978048,37,71
9,0.05,5,3.2437593627122734,0.8495572079660123,0.35660883968504076,0.061117466140597064,1.0,1480,0.86315632191032,34,73
10,0.06,6,3.5157718567685126,0.8495572079660123,0.30386890096858565,0.05653871300957904,1.0,1605,0.8737054468195141,38,73
11,0.08,8,4.348654912953648,0.8495572079660123,0.3848554225033953,0.10050589643664516,1.0,1754,0.8801171519472173,49,90
12,0.09,9,4.790251449932455,0.8495572079660123,0.34438081280178223,0.14854221827420735,1.0,1901,0.8814120697026842,80,126
13,0.09,9,5.001540538999075,0.8495572079660123,0.33471363657191167,0.12423354174213985,1.0,2065,0.8778876278069908,82,135
14,0.09,9,5.021326266325552,0.8499263159851862,0.25081346369900065,0.08245515292723092,1.0,2183,0.8802378880177644,79,132
15,0.09,9,5.042176120263106,0.8499263159851862,0.3241870867967784,0.03748883653734334,1.0,2329,0.8797947008831928,73,126
16,0.09,9,5.088852035147939,0.8499263159851862,0.28935073069665884,0.07887934385229467,1.0,2455,0.8752636599546798,87,147
17,0.09,9,5.089980716155461,0.8499263159851862,0.18966201830118065,0.06287483301099923,1.0,2545,0.8740112250710024,82,141
18,0.09,9,5.090766879669591,0.8499263159851862,0.22073989729738852,0.04559336234862913,1.0,2688,0.8769305453017262,78,147
19,0.09,9,5.098122650386172,0.8499275090547596,0.1529338520694451,0.05200621942321541,1.0,2852,0.8770082898651211,94,167
20,0.09,9,5.176749505489438,0.8499275090547596,0.20342291963307035,0.05803272721086853,1.0,2966,0.870767428359268,100,171
21,0.09,9,5.240191818215893,0.8499275090547596,0.2401647257537016,0.050237066155193966,1.0,3101,0.8726072984338914,89,166
22,0.09,9,5.250224666213832,0.8499821879969311,0.225308076069314,0.04908022723364564,1.0,3242,0.8760847507206231,113,187
23,0.09,9,5.275539857452461,0.8499821879969311,0.15977979053670335,0.042656592006551676,1.0,3369,0.8760193034160174,96,167
24,0.09,9,5.314144117201145,0.8499821879969311,0.20494037124548642,0.04775297996030391,1.0,3522,0.8788937266070278,93,159
25,0.09,9,5.323917227646532,0.8500092432367325,0.17982021031944362,0.03871742584027244,1.0,3653,0.8734667886428228,96,176
